#YEAR;RANKING;TEAM;POINTS;WIN;DRAW;LOSE;GOAL-BALANCE;GOALS-PRO;GOALS-AGAINST;MATCHES;PERFORMANCE-SCORE
2007;19;Paraná/PR;41;11;8;19;-22;42;64;38;36.00%
2007;20;América/RN;17;4;5;29;-56;24;80;38;14.90%
2008;1;São Paulo/SP;75;21;12;5;30;66;36;38;65.80%
2008;2;Grêmio/RS;72;21;9;8;24;59;35;38;63.20%
2008;3;Cruzeiro/MG;67;21;4;13;15;59;44;38;58.80%
2008;4;Palmeiras/SP;65;19;8;11;10;55;45;38;57.00%
2008;5;Flamengo/RJ;64;18;10;10;19;67;48;38;56.10%
2008;6;Internacional/RS;54;15;9;14;1;48;47;38;47.40%
2008;7;Botafogo/RJ;53;15;8;15;7;51;44;38;46.50%
2008;8;Goiás/GO;53;14;11;13;10;57;47;38;46.50%
2008;9;Coritiba/PR;53;14;11;13;7;55;48;38;46.50%
2008;10;Vitória/BA;52;15;7;16;4;48;44;38;45.60%
2008;11;Sport/PE;52;14;10;14;3;48;45;38;45.60%
2008;12;Atlético/MG;48;12;12;14;-11;50;61;38;42.10%
2008;13;Atlético/PR;45;12;9;17;-9;45;54;38;39.50%
2008;14;Fluminense/RJ;45;11;12;15;1;49;48;38;39.50%
2008;15;Santos/SP;45;11;12;15;-9;44;53;38;39.50%
2008;16;Náutico/PE;44;11;11;16;-10;44;54;38;38.60%
2008;17;Figueirense/SC;44;11;11;16;-24;49;73;38;38.60%
2008;18;Vasco/RJ;40;11;7;20;-16;56;72;38;35.10%
2008;19;Portuguesa/SP;38;9;11;18;-22;48;70;38;33.30%
2008;20;Ipatinga/MG;35;9;8;21;-30;37;67;38;30.70%
2009;1;Flamengo/RJ;67;19;10;9;14;58;44;38;58.80%
2009;2;Internacional/RS;65;19;8;11;21;65;44;38;57.00%
2009;3;São Paulo/SP;65;18;11;9;15;57;42;38;57.00%
2009;4;Cruzeiro/MG;62;18;8;12;5;58;53;38;54.40%
2009;5;Palmeiras/SP;62;17;11;10;13;58;45;38;54.40%
2009;6;Avaí/SC;57;15;12;11;9;61;52;38;50.00%
2009;7;Atlético/MG;56;16;8;14;-1;55;56;38;49.10%
2009;8;Grêmio/RS;55;15;10;13;21;67;46;38;48.20%
2009;9;Goiás/GO;55;15;10;13;-1;64;65;38;48.20%
2009;10;Corinthians/SP;52;14;10;14;-4;50;54;38;45.60%
2009;11;Barueri/SP;49;12;13;13;7;59;52;38;43.00%
2009;12;Santos/SP;49;12;13;13;0;58;58;38;43.00%
2009;13;Vitória/BA;48;13;9;16;-6;51;57;38;42.10%
2009;14;Atlético/PR;48;13;9;16;-7;42;49;38;42.10%
2009;15;Botafogo/RJ;47;11;14;13;-6;52;58;38;41.20%
2009;16;Fluminense/RJ;46;11;13;14;-7;49;56;38;40.40%
2009;17;Coritiba/PR;45;12;9;17;-12;48;60;38;39.50%
2009;18;Santo André/SP;41;11;8;19;-15;46;61;38;36.00%
2009;19;Náutico/PE;38;10;8;20;-23;48;71;38;33.30%
2009;20;Sport/PE;31;7;10;21;-23;48;71;38;27.20%
2010;1;Fluminense/RJ;71;20;11;7;26;62;36;38;62.30%
2010;2;Cruzeiro/MG;69;20;9;9;15;53;38;38;60.50%
2010;3;Corinthians/SP;68;19;11;8;24;65;41;38;59.60%
2010;4;Grêmio/RS;63;17;12;9;25;68;43;38;55.30%
2010;5;Atlético/PR;60;17;9;12;-2;43;45;38;52.60%
2010;6;Botafogo/RJ;59;14;17;7;12;54;42;38;51.80%
2010;7;Internacional/RS;58;16;10;12;7;48;41;38;50.90%
2010;8;Santos/SP;56;15;11;12;13;63;50;38;49.10%
2010;9;São Paulo/SP;55;15;10;13;0;54;54;38;48.20%
2010;10;Palmeiras/SP;50;12;14;12;-1;42;43;38;43.90%
2010;11;Vasco/RJ;49;11;16;11;-2;43;45;38;43.00%
2010;12;Ceará/CE;47;10;17;11;-9;35;44;38;41.20%
2010;13;Atlético/MG;45;13;6;19;-12;52;64;38;39.50%
2010;14;Flamengo/RJ;44;9;17;12;-3;41;44;38;38.60%
2010;15;Avaí/SC;43;11;10;17;-9;49;58;38;37.70%
2010;16;Atlético/GO;42;11;9;18;-6;51;57;38;36.80%
2010;17;Vitória/BA;42;9;15;14;-6;42;48;38;36.80%
2010;18;Guarani/SP;37;8;13;17;-20;33;53;38;32.50%
2010;19;Goiás/GO;33;8;9;21;-27;41;68;38;28.90%
2010;20;Grêmio Prudente/SP;28;7;10;21;-25;39;64;38;24.60%
2011;1;Corinthians/SP;71;21;8;9;17;53;36;38;62.30%
2011;2;Vasco/RJ;69;19;12;7;17;57;40;38;60.50%
2011;3;Fluminense/RJ;63;20;3;15;9;60;51;38;55.30%
2011;4;Flamengo/RJ;61;15;16;7;12;59;47;38;53.50%
2011;5;Internacional/RS;60;16;12;10;14;57;43;38;52.60%
2011;6;São Paulo/SP;59;16;11;11;11;57;46;38;51.80%
2011;7;Figueirense/SC;58;15;13;10;1;46;45;38;50.90%
2011;8;Coritiba/PR;57;16;9;13;16;57;41;38;50.00%
2011;9;Botafogo/RJ;56;16;8;14;3;52;49;38;49.10%
2011;10;Santos/SP;53;15;8;15;0;55;55;38;46.50%
2011;11;Palmeiras/SP;50;11;17;10;4;43;39;38;43.90%
2011;12;Grêmio/RS;48;13;9;16;-8;49;57;38;42.10%
2011;13;Atlético/GO;48;12;12;14;5;50;45;38;42.10%
2011;14;Bahia/BA;46;11;13;14;-6;43;49;38;40.40%
2011;15;Atlético/MG;45;13;6;19;-10;50;60;38;39.50%
2011;16;Cruzeiro/MG;43;11;10;17;-3;48;51;38;37.70%
2011;17;Atlético/PR;41;10;11;17;-17;38;55;38;36.00%
2011;18;Ceará/CE;39;10;9;19;-17;47;64;38;34.20%
2011;19;América/MG;37;8;13;17;-18;51;69;38;32.50%
2011;20;Avaí/SC;31;7;10;21;-30;45;75;38;27.20%
2012;1;Fluminense/RJ;77;22;11;5;28;61;33;38;67.50%
2012;2;Atlético/MG;72;20;12;6;27;64;37;38;63.20%
2012;3;Grêmio/RS;71;20;11;7;23;56;33;38;62.30%
2012;4;São Paulo/SP;66;20;6;12;22;59;37;38;57.90%
2012;5;Vasco/RJ;58;16;10;12;1;45;44;38;50.90%
2012;6;Corinthians/SP;57;15;12;11;12;51;39;38;50.00%
2012;7;Botafogo/RJ;55;15;10;13;10;60;50;38;48.20%
2012;8;Santos/SP;53;13;14;11;6;50;44;38;46.50%
2012;9;Cruzeiro/MG;52;15;7;16;-4;47;51;38;45.60%
2012;10;Internacional/RS;52;13;13;12;4;44;40;38;45.60%
2012;11;Flamengo/RJ;50;12;14;12;-7;39;46;38;43.90%
2012;12;Náutico/PE;49;14;7;17;-7;44;51;38;43.00%
2012;13;Coritiba/PR;48;14;6;18;-7;53;60;38;42.10%
2012;14;Ponte Preta/SP;48;12;12;14;-7;37;44;38;42.10%
2012;15;Bahia/BA;47;11;14;13;-4;37;41;38;41.20%
2012;16;Portuguesa/SP;45;10;15;13;-2;39;41;38;39.50%
2012;17;Sport/PE;41;10;11;17;-17;39;56;38;36.00%
2012;18;Palmeiras/SP;34;9;7;22;-15;39;54;38;29.80%
2012;19;Atlético/GO;30;7;9;22;-30;37;67;38;26.30%
2012;20;Figueirense/SC;30;7;9;22;-33;39;72;38;26.30%
2013;1;Cruzeiro/MG;76;23;7;8;40;77;37;38;66.70%
2013;2;Grêmio/RS;65;18;11;9;7;42;35;38;57.00%
2013;3;Atlético/PR;64;18;10;10;16;65;49;38;56.10%
2013;4;Botafogo/RJ;61;17;10;11;14;55;41;38;53.50%
2013;5;Vitória/BA;59;16;11;11;6;59;53;38;51.80%
2013;6;Goiás/GO;59;16;11;11;4;48;44;38;51.80%
2013;7;Santos/SP;57;15;12;11;13;51;38;38;50.00%
2013;8;Atlético/MG;57;15;12;11;11;49;38;38;50.00%
2013;9;São Paulo/SP;50;14;8;16;-1;39;40;38;43.90%
2013;10;Corinthians/SP;50;11;17;10;5;27;22;38;43.90%
2013;11;Coritiba/PR;48;12;12;14;-3;42;45;38;42.10%
2013;12;Bahia/BA;48;12;12;14;-8;37;45;38;42.10%
2013;13;Internacional/RS;48;11;15;12;-1;51;52;38;42.10%
2013;14;Criciúma/SC;46;13;7;18;-14;49;63;38;40.40%
2013;15;Fluminense/RJ;46;12;10;16;-4;43;47;38;40.40%
2013;16;Flamengo/RJ;45;12;13;13;-3;43;46;38;39.50%
2013;17;Portuguesa/SP;44;12;12;14;4;50;46;38;38.60%
2013;18;Vasco/RJ;44;11;11;16;-11;50;61;38;38.60%
2013;19;Ponte Preta/SP;37;9;10;19;-18;37;55;38;32.50%
2013;20;Náutico/PE;20;5;5;28;-57;22;79;38;17.50%
2014;1;Cruzeiro/MG;80;24;8;6;29;67;38;38;70.20%
2014;2;São Paulo/SP;70;20;10;8;19;59;40;38;61.40%
2014;3;Internacional/RS;69;21;6;11;12;53;41;38;60.50%
2014;4;Corinthians/SP;69;19;12;7;18;49;31;38;60.50%
2014;5;Atlético/MG;62;17;11;10;13;51;38;38;54.40%
2014;6;Fluminense/RJ;61;17;10;11;19;61;42;38;53.50%
2014;7;Grêmio/RS;61;17;10;11;12;36;24;38;53.50%
2014;8;Atlético/PR;54;15;9;14;1;43;42;38;47.40%
2014;9;Santos/SP;53;15;8;15;7;42;35;38;46.50%
2014;10;Flamengo/RJ;52;14;10;14;-1;46;47;38;45.60%
2014;11;Sport/PE;52;14;10;14;-10;36;46;38;45.60%
2014;12;Goiás/GO;47;13;8;17;-2;38;40;38;41.20%
2014;13;Figueirense/SC;47;13;8;17;-10;37;47;38;41.20%
2014;14;Coritiba/PR;47;12;11;15;-3;42;45;38;41.20%
2014;15;Chapecoense/SC;43;11;10;17;-5;39;44;38;37.70%
2014;16;Palmeiras/SP;40;11;7;20;-25;34;59;38;35.10%
2014;17;Vitória/BA;38;10;8;20;-17;37;54;38;33.30%
2014;18;Bahia/BA;37;9;10;19;-12;31;43;38;32.50%
2014;19;Botafogo/RJ;34;9;7;22;-17;31;48;38;29.80%
2014;20;Criciúma/SC;32;7;11;20;-28;28;56;38;28.10%
2015;1;Corinthians/SP;81;24;9;5;40;71;31;38;71.10%
2015;2;Atlético/MG;69;21;6;11;18;65;47;38;60.50%
2015;3;Grêmio/RS;68;20;8;10;20;52;32;38;59.60%
2015;4;São Paulo/SP;62;18;8;12;6;53;47;38;54.40%
2015;5;Internacional/RS;60;17;9;12;1;39;38;38;52.60%
2015;6;Sport/PE;59;15;14;9;15;53;38;38;51.80%
2015;7;Santos/SP;58;16;10;12;18;59;41;38;50.90%
2015;8;Cruzeiro/MG;55;15;10;13;9;44;35;38;48.20%
2015;9;Palmeiras/SP;53;15;8;15;9;60;51;38;46.50%
2015;10;Atlético/PR;51;14;9;15;-5;43;48;38;44.70%
2015;11;Ponte Preta/SP;51;13;12;13;1;41;40;38;44.70%
2015;12;Flamengo/RJ;49;15;4;19;-8;45;53;38;43.00%
2015;13;Fluminense/RJ;47;14;5;19;-9;40;49;38;41.20%
2015;14;Chapecoense/SC;47;12;11;15;-10;34;44;38;41.20%
2015;15;Coritiba/PR;44;11;11;16;-11;31;42;38;38.60%
2015;16;Figueirense/SC;43;11;10;17;-14;36;50;38;37.70%
2015;17;Avaí/SC;42;11;9;18;-22;38;60;38;36.80%
2015;18;Vasco/RJ;41;10;11;17;-26;28;54;38;36.00%
2015;19;Goiás/GO;38;10;8;20;-10;39;49;38;33.30%
2015;20;Joinville/SC;31;7;10;21;-22;26;48;38;27.20%
2016;1;Palmeiras/SP;80;24;8;6;30;62;32;38;70.20%
2016;2;Santos/SP;71;22;5;11;24;59;35;38;62.30%
2016;3;Flamengo/RJ;71;20;11;7;17;52;35;38;62.30%
2016;4;Atlético/MG;62;17;11;9;11;61;50;37;55.90%
2016;5;Botafogo/RJ;59;17;8;13;4;43;39;38;51.80%
2016;6;Atlético/PR;57;17;6;15;6;38;32;38;50.00%
2016;7;Corinthians/SP;55;15;10;13;6;48;42;38;48.20%
2016;8;Ponte Preta/SP;53;15;8;15;-4;48;52;38;46.50%
2016;9;Grêmio/RS;53;14;11;13;-3;41;44;38;46.50%
2016;10;São Paulo/SP;52;14;10;14;8;44;36;38;45.60%
2016;11;Chapecoense/SC;52;13;13;11;-4;49;53;37;46.80%
2016;12;Cruzeiro/MG;51;14;9;15;-1;48;49;38;44.70%
2016;13;Fluminense/RJ;50;13;11;14;0;45;45;38;43.90%
2016;14;Sport/PE;47;13;8;17;-6;49;55;38;41.20%
2016;15;Coritiba/PR;46;11;13;14;-1;41;42;38;40.40%
2016;16;Vitória/BA;45;12;9;17;-2;51;53;38;39.50%
2016;17;Internacional/RS;43;11;10;17;-6;35;41;38;37.70%
2016;18;Figueirense/SC;37;8;13;17;-20;30;50;38;32.50%
2016;19;Santa Cruz/PE;31;8;7;23;-24;45;69;38;27.20%
2016;20;América/MG;28;7;7;24;-35;23;58;38;24.60%
2017;1;Corinthians/SP;72;21;9;8;20;50;30;38;63.20%
2017;2;Palmeiras/SP;63;19;6;13;16;61;45;38;55.30%
2017;3;Santos/SP;63;17;12;9;10;42;32;38;55.30%
2017;4;Grêmio/RS;62;18;8;12;19;55;36;38;54.40%
2017;5;Cruzeiro/MG;57;15;12;11;8;47;39;38;50.00%
2017;6;Flamengo/RJ;56;15;11;12;11;49;38;38;49.10%
2017;7;Vasco/RJ;56;15;11;12;-7;40;47;38;49.10%
2017;8;Chapecoense/SC;54;15;9;14;-2;47;49;38;47.40%
2017;9;Atlético/MG;54;14;12;12;3;52;49;38;47.40%
2017;10;Botafogo/RJ;53;14;11;13;3;45;42;38;46.50%
2017;11;Atlético/PR;51;14;9;15;2;45;43;38;44.70%
2017;12;Bahia/BA;50;13;11;14;2;50;48;38;43.90%
2017;13;São Paulo/SP;50;13;11;14;-1;48;49;38;43.90%
2017;14;Fluminense/RJ;47;11;14;13;-3;50;53;38;41.20%
2017;15;Sport/PE;45;12;9;17;-12;46;58;38;39.50%
2017;16;Vitória/BA;43;11;10;17;-8;50;58;38;37.70%
2017;17;Coritiba/PR;43;11;10;17;-9;42;51;38;37.70%
2017;18;Avaí/SC;43;10;13;15;-19;29;48;38;37.70%
2017;19;Ponte Preta/SP;39;10;9;19;-15;37;52;38;34.20%
2017;20;Atlético/GO;36;9;9;20;-18;38;56;38;31.60%
2018;1;Palmeiras/SP;80;23;11;4;38;64;26;38;70.20%
2018;2;Flamengo/RJ;72;21;9;8;30;59;29;38;63.20%
2018;3;Internacional/RS;69;19;12;7;22;51;29;38;60.50%
2018;4;Grêmio/RS;66;18;12;8;21;48;27;38;57.90%
2018;5;São Paulo/SP;63;16;15;7;12;46;34;38;55.30%
2018;6;Atlético/MG;59;17;8;13;13;56;43;38;51.80%
2018;7;Atlético/PR;57;16;9;13;17;54;37;38;50.00%
2018;8;Cruzeiro/MG;53;14;11;13;0;34;34;38;46.50%
2018;9;Botafogo/RJ;51;13;12;13;-8;38;46;38;44.70%
2018;10;Santos/SP;50;13;11;14;6;46;40;38;43.90%
2018;11;Bahia/BA;48;12;12;14;-2;39;41;38;42.10%
2018;12;Fluminense/RJ;45;12;9;17;-14;32;46;38;39.50%
2018;13;Corinthians/SP;44;11;11;16;-1;34;35;38;38.60%
2018;14;Chapecoense/SC;44;11;11;16;-16;34;50;38;38.60%
2018;15;Ceará/CE;44;10;14;14;-6;32;38;38;38.60%
2018;16;Vasco/RJ;43;10;13;15;-7;41;48;38;37.70%
2018;17;Sport/PE;42;11;9;18;-22;35;57;38;36.80%
2018;18;América/MG;40;10;10;18;-17;30;47;38;35.10%
2018;19;Vitória/BA;37;9;10;19;-27;36;63;38;32.50%
2018;20;Paraná/PR;23;4;11;23;-39;18;57;38;20.20%
2019;1;Flamengo/RJ;90;28;6;4;49;86;37;38;78.90%
2019;2;Santos/SP;74;22;8;8;27;60;33;38;64.90%
2019;3;Palmeiras/SP;74;21;11;6;29;61;32;38;64.90%
2019;4;Grêmio/RS;65;19;8;11;25;64;39;38;57.00%
2019;5;Atlético/PR;64;18;10;10;19;51;32;38;56.10%
2019;6;São Paulo/SP;63;17;12;9;9;39;30;38;55.30%
2019;7;Internacional/RS;57;16;9;13;5;44;39;38;50.00%
2019;8;Corinthians/SP;56;14;14;10;8;42;34;38;49.10%
2019;9;Fortaleza/CE;53;15;8;15;1;50;49;38;46.50%
2019;10;Goiás/GO;52;15;7;16;-18;46;64;38;45.60%
2019;11;Bahia/BA;49;12;13;13;1;44;43;38;43.00%
2019;12;Vasco/RJ;49;12;13;13;-6;39;45;38;43.00%
2019;13;Atlético/MG;48;13;9;16;-4;45;49;38;42.10%
2019;14;Fluminense/RJ;46;12;10;16;-8;38;46;38;40.40%
2019;15;Botafogo/RJ;43;13;4;21;-14;31;45;38;37.70%
2019;16;Ceará/CE;39;10;9;19;-5;36;41;38;34.20%
2019;17;Cruzeiro/MG;36;7;15;16;-19;27;46;38;31.60%
2019;18;CSA/AL;32;8;8;22;-34;24;58;38;28.10%
2019;19;Chapecoense/SC;32;7;11;20;-21;31;52;38;28.10%
2019;20;Avaí/SC;20;3;11;24;-44;18;62;38;17.50%
2020;1;Flamengo/RJ;71;21;8;9;20;68;48;38;62.3%
2020;2;Internacional/RS;70;20;10;8;26;61;35;38;61.4%
2020;3;Atlético/MG;68;20;8;10;19;64;45;38;59.6%
2020;4;São Paulo/SP;66;18;12;8;18;59;41;38;57.9%
2020;5;Fluminense/RJ;64;18;10;10;13;55;42;38;56.1%
2020;6;Grêmio/RS;59;14;17;7;13;53;40;38;51.8%
2020;7;Palmeiras/SP;58;15;13;10;14;51;37;38;50.9%
2020;8;Santos/SP;54;14;12;12;1;52;51;38;47.4%
2020;9;Atlético/PR;53;15;8;15;2;38;36;38;46.5%
2020;10;Bragantino/SP;53;13;14;11;10;50;40;38;46.5%
2020;11;Ceará/CE;52;14;10;14;3;54;51;38;45.6%
2020;12;Corinthians/SP;51;13;12;13;0;45;45;38;44.7%
2020;13;Atlético/GO;50;12;14;12;-5;40;45;38;43.9%
2020;14;Bahia/BA;44;12;8;18;-11;48;59;38;38.6%
2020;15;Sport/PE;42;12;6;20;-19;31;50;38;36.8%
2020;16;Fortaleza/CE;41;10;11;17;-10;34;44;38;36%
2020;17;Vasco/RJ;41;10;11;17;-19;37;56;38;36%
2020;18;Goiás/GO;37;9;10;19;-22;41;63;38;32.5%
2020;19;Coritiba/PR;31;7;10;21;-23;31;54;38;27.2%
2020;20;Botafogo/RJ;27;5;12;21;-30;32;62;38;23.7%
2021;1;Atlético/MG;84;26;6;6;33;67;34;38;73.70%
2021;2;Flamengo/RJ;71;21;8;9;33;69;36;38;62.30%
2021;3;Palmeiras/SP;66;20;6;12;15;58;43;38;57.90%
2021;4;Fortaleza/CE;58;17;7;14;-1;44;45;38;50.90%
2021;5;Corinthians/SP;57;15;12;11;4;40;36;38;50.00%
2021;6;Bragantino/SP;56;14;14;10;9;55;46;38;49.10%
2021;7;Fluminense/RJ;54;15;9;14;0;38;38;38;47.40%
2021;8;América/MG;53;13;14;11;4;41;37;38;46.50%
2021;9;Atlético/GO;53;13;14;11;-3;33;36;38;46.50%
2021;10;Santos/SP;50;12;14;12;-5;35;40;38;43.90%
2021;11;Ceará/CE;50;11;17;10;1;39;38;38;43.90%
2021;12;Internacional/RS;48;12;12;14;2;44;42;38;42.10%
2021;13;São Paulo/SP;48;11;15;12;-8;31;39;38;42.10%
2021;14;Atlético/PR;47;13;8;17;-4;41;45;38;41.20%
2021;15;Cuiabá/MT;47;10;17;11;-3;34;37;38;41.20%
2021;16;Juventude/RS;46;11;13;14;-8;36;44;38;40.40%
2021;17;Grêmio/RS;43;12;7;19;-7;44;51;38;37.70%
2021;18;Bahia/BA;43;11;10;17;-9;42;51;38;37.70%
2021;19;Sport/PE;38;9;11;18;-13;24;37;38;33.30%
2021;20;Chapecoense/SC;15;1;12;25;-40;27;67;38;13.20%
